"""brand""";"""founded_by""";"""founded_in""";"""country""";"""key_people""";"""industry""";"""website""";"""rank_2022""";"""rating_2022""";"""brand_value_2022""";"""brand_value_2021""";"""change"""
Apple;Steve Jobs, Steve Wozniak,Ronald Wayne;1976;United States;Tim Cook(CEO);Consumer electronics, Software Service, Online Services;https://www.apple.com/;1;AAA;355079.97;263374.7;35%
Amazon;Jeff Bezos;1994;United States;Andy Jassy(CEO);E-Commerce, Cloud Computing, Artificial Intelligence, Consumer electronics, Entertainment, Digital Distribution, Self-Driving Cars, Supermarket;https://www.amazon.com/;2;AAA+;350273.25;254187.58;38%
Google;Larry Page, Sergey Brin;1998;United States;Sundar Pichai(CEO);Artificial Intelligence, Advertising, Cloud Computing, Computer Software, Computer Hardware, Internet;https://www.google.com/;3;AAA+;263424.93;191214.84;38%
Microsoft;Bill Gates, Paul Allen;1975;United States;Satya Nadella(CEO);Information Technology;https://www.microsoft.com/;4;AAA;184244.52;140435.35;31%
Walmart;Sam Walton;1962;United States;Doug McMillon(CEO);Retail;https://www.walmart.com/;5;AAA-;111918.32;93185.28;20%
Samsung Group;Lee Byung-chul;1938;South Korea;Lee Jae-yong(Chairman);Conglomerate;https://www.samsung.com/;6;AAA-;107284;102623;5%
Facebook;Mark Zuckerberg, Eduardo Saverin;2004;United States;Mark Zuckerberg(CEO);Social Networking Service, Publishing;https://facebook.com/;7;AA+;101200.52;81476.37;24%
ICBC;People's Bank of China(Parent);1984;China;Gu Shu(CEO);Financial services;https://www.icbc.com.cn/icbc/en/;8;AAA+;75119.27;72788.38;3%
Huawei;Ren Zhengfei;1987;China;Ren Zhengfei(CEO);Consumer Electronics, Telecom Equipment, Networking Equipment, Semiconductors, Artificial Intelligence, Automation, Cloud Computing, Internet Of Things;https://www.huawei.com/en/;9;AAA-;71232.74;55395.83;29%
Verizon;Bell Atlantic Corp. and GTE Corp.;1983;United States;Hans Vestberg(CEO);Telecommunications, Mass Media;https://www.verizon.com/;10;AAA-;69639.25;68889.5;1%
China Construction Bank;People's Bank of China name was changed to China Construction Bank by China's Ministry of Finance;1954;China;Wang Hongzhang(Chairman);Financial services;http://en.ccb.com/en/home/indexv3.html;11;AAA;65546.46;59649.12;10%
Toyota;Kiichiro Toyoda;1937;Japan;Takeshi Uchiyamada(Chairman);Automotive;https://global.toyota/;12;AAA;64283;59479;8%
WeChat;Tencent;2011;China;Ma Huateng(CEO of Tencent which develops WeChat);Instant messaging, social Media and mobile payment app;https://www.wechat.com/;13;AAA+;62302.54;67901.98;-8%
Agricultural Bank Of China;Governement of China(with the merger of an agricultural bank with the central bank);1951;China;Gu Shu(Chairman);Financial services;https://www.abchina.com/;14;AAA;62031.22;53134.09;17%
Mercedes-Benz;Emil Jellinek, Paul Daimler;1926;Germany;Sten Ola Källenius(CEO);Automotive;https://www.mercedes-benz.com/en/;15;AAA-;60760;58225;4%
State Grid;State Council of China;2002;China;Shu Yinbiao(Chairman);Electric utility;http://www.sgcc.com.cn/;16;AAA;60174.88;55202.86;9%
Deutsche Telekom;Postal Adminstration 'Deutsche Bundespost' of the German Governement as split into 3 entities, one being Deutsche Telekom;1995;Germany;Timotheus Höttges(CEO);Telecommunications;https://www.telekom.com/en;17;AAA-;60168.74;51107.03;18%
TikTok/Douyin;ByteDance;2016;China;Shou Zi Chew(CEO);Video Hosting;https://www.tiktok.com/https://www.douyin.com/;18;AA+;58979.93;18700;215%
